username,repo_name,stars,repo_url
public-apis,public-apis,211000,https://github.com/public-apis/public-apis
neovim,neovim,58200,https://github.com/neovim/neovim
tiangolo,fastapi,50100,https://github.com/tiangolo/fastapi
strapi,strapi,48500,https://github.com/strapi/strapi
hoppscotch,hoppscotch,47200,https://github.com/hoppscotch/hoppscotch
slatedocs,slate,34600,https://github.com/slatedocs/slate
meilisearch,meilisearch,29700,https://github.com/meilisearch/meilisearch
hasura,graphql-engine,28100,https://github.com/hasura/graphql-engine
ccxt,ccxt,25800,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,25700,https://github.com/Binaryify/NeteaseCloudMusicApi
YMFE,yapi,25100,https://github.com/YMFE/yapi
encode,django-rest-framework,24200,https://github.com/encode/django-rest-framework
httpie,httpie,24000,https://github.com/httpie/httpie
Kong,insomnia,23700,https://github.com/Kong/insomnia
littlecodersh,ItChat,22500,https://github.com/littlecodersh/ItChat
paularmstrong,normalizr,20900,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20400,https://github.com/FallibleInc/security-guide-for-developers
microsoft,api-guidelines,20100,https://github.com/microsoft/api-guidelines
pubkey,rxdb,18200,https://github.com/pubkey/rxdb
shieldfy,API-Security-Checklist,17900,https://github.com/shieldfy/API-Security-Checklist
