username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,151000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,47300,https://github.com/junegunn/fzf
sharkdp,bat,37400,https://github.com/sharkdp/bat
sherlock-project,sherlock,35700,https://github.com/sherlock-project/sherlock
google,zx,34300,https://github.com/google/zx
wagoodman,dive,33900,https://github.com/wagoodman/dive
BurntSushi,ripgrep,33400,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,30600,https://github.com/chubin/cheat.sh
jesseduffield,lazygit,30000,https://github.com/jesseduffield/lazygit
cli,cli,30000,https://github.com/cli/cli
spf13,cobra,28800,https://github.com/spf13/cobra
n8n-io,n8n,25700,https://github.com/n8n-io/n8n
angular,angular-cli,25700,https://github.com/angular/angular-cli
alebcay,awesome-shell,25000,https://github.com/alebcay/awesome-shell
sharkdp,fd,24700,https://github.com/sharkdp/fd
ibraheemdev,modern-unix,24400,https://github.com/ibraheemdev/modern-unix
httpie,httpie,24000,https://github.com/httpie/httpie
google,python-fire,23100,https://github.com/google/python-fire
tqdm,tqdm,23000,https://github.com/tqdm/tqdm
vercel,pkg,22000,https://github.com/vercel/pkg
