username,repo_name,stars,repo_url
sindresorhus,awesome,222000,https://github.com/sindresorhus/awesome
vinta,awesome-python,143000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,105000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,88800,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,79500,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,64700,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,59800,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,56600,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,53500,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,50100,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,47000,https://github.com/sindresorhus/awesome-nodejs
MunGell,awesome-for-beginners,44200,https://github.com/MunGell/awesome-for-beginners
wasabeef,awesome-android-ui,44100,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,43000,https://github.com/Solido/awesome-flutter
prakhar1989,awesome-courses,43000,https://github.com/prakhar1989/awesome-courses
binhnguyennus,awesome-scalability,41000,https://github.com/binhnguyennus/awesome-scalability
vsouza,awesome-ios,40700,https://github.com/vsouza/awesome-ios
fffaraz,awesome-cpp,40700,https://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,37100,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,35300,https://github.com/dypsilon/frontend-dev-bookmarks
